modnr, pixrad, nmod, tot_t, mod_t, burn_t
001981, 8, 200, 3.68, 2.15, 1.13
003284, 8, 200, 8.09, 1.95, 5.14
003007, 8, 200, 9.88, 3.26, 5.57
002301, 10, 200, 30.60, 5.65, 21.42
003389, 8, 200, 3.23, 1.89, 1.00
001764, 8, 200, 2.69, 1.33, 1.07
003304, 8, 200, 22.57, 4.79, 16.20
002368, 8, 200, 3.08, 1.85, 0.89
000418, 8, 200, 3.12, 1.60, 1.16
003422, 12, 200, 13.56, 4.46, 7.44
000719, 8, 200, 8.54, 2.31, 5.28
001718, 8, 200, 3.71, 2.18, 1.14
003501, 8, 200, 11.36, 3.34, 6.78
002003, 8, 0, 0, 0, 0
001166, 8, 200, 3.46, 2.07, 1.07
000013, 5, 200, 1.86, 0.94, 0.72
002906, 8, 200, 3.76, 2.20, 1.13
002562, 10, 200, 45.60, 6.69, 32.58
002299, 10, 200, 5.67, 2.22, 2.60
001603, 9, 200, 19.94, 5.21, 12.62
003122, 8, 200, 3.69, 2.18, 1.12
000330, 8, 200, 3.09, 1.57, 1.16
000321, 8, 200, 9.84, 3.56, 5.16
003583, 5, 200, 2.42, 1.64, 0.63
002616, 12, 200, 15.88, 5.14, 8.65
001561, 8, 200, 3.10, 1.90, 0.89
002041, 11, 200, 10.28, 3.30, 5.47
001608, 8, 200, 2.73, 1.39, 1.03
000693, 8, 200, 2.78, 1.41, 1.04
001180, 8, 200, 3.06, 1.67, 1.08
000745, 5, 200, 1.09, 0.40, 0.54
000073, 5, 200, 2.51, 0.94, 1.30
003140, 8, 200, 7.36, 1.81, 4.67
001703, 8, 200, 34.37, 5.63, 25.29
003315, 12, 200, 316.32, 64.04, 230.80
002030, 8, 200, 9.62, 3.21, 5.38
002804, 8, 200, 8.34, 2.35, 4.97
002892, 8, 200, 3.26, 1.87, 1.02
003600, 8, 200, 10.62, 3.28, 6.16
001437, 8, 200, 2.61, 1.38, 0.92
001031, 8, 200, 3.41, 2.07, 1.02
003535, 8, 200, 3.29, 1.93, 1.04
003078, 12, 200, 15.10, 4.32, 8.59
002646, 12, 200, 15.98, 5.11, 8.73
003541, 8, 200, 2.76, 1.39, 1.03
001361, 8, 200, 2.76, 1.36, 1.09
001516, 10, 200, 5.94, 2.19, 2.93
000001, 5, 200, 2.76, 1.34, 1.10
001463, 8, 200, 9.33, 2.48, 5.80
001575, 8, 200, 8.78, 2.42, 5.39
003058, 8, 200, 3.71, 2.16, 1.13
000576, 8, 50, 1.93, 0.58, 1.03
001070, 8, 200, 3.00, 1.64, 1.05
003066, 8, 200, 3.72, 2.18, 1.13
001522, 8, 200, 3.67, 2.18, 1.13
003300, 8, 200, 8.40, 1.96, 5.46
002605, 12, 200, 91.57, 15.21, 65.68
000202, 8, 2000, 19.30, 18.04, 0.95
003467, 8, 200, 3.64, 2.12, 1.12
000401, 8, 900, 32.64, 6.44, 23.16
000846, 8, 200, 3.17, 1.61, 1.15
003490, 8, 200, 3.22, 1.87, 1.02
002480, 8, 200, 3.70, 2.15, 1.13
001892, 12, 200, 14.10, 4.50, 7.87
001870, 12, 200, 16.92, 5.47, 9.29
001150, 8, 200, 2.73, 1.39, 1.05
003219, 8, 200, 9.17, 2.58, 5.43
001742, 8, 200, 3.79, 2.23, 1.14
003079, 8, 200, 12.39, 3.42, 7.83
001172, 8, 200, 3.17, 1.82, 1.03
000917, 8, 200, 2.75, 1.38, 1.04
000334, 7, 400, 4.50, 1.31, 2.63
001581, 8, 200, 2.60, 1.38, 0.92
003546, 8, 200, 9.64, 2.78, 5.67
000667, 8, 200, 3.11, 1.55, 1.17
002071, 10, 200, 7.53, 3.23, 3.33
003226, 12, 200, 147.57, 20.73, 108.67
002553, 11, 200, 53.75, 8.75, 39.28
000937, 8, 200, 3.18, 1.83, 1.01
002868, 6, 200, 2.15, 0.57, 1.28
003162, 12, 200, 16.24, 5.38, 8.95
000807, 8, 200, 9.47, 2.60, 5.83
000187, 8, 350, 3.82, 2.45, 1.05
003014, 8, 200, 3.73, 2.14, 1.12
002620, 12, 200, 16.08, 5.25, 8.76
003327, 12, 200, 16.13, 5.22, 8.62
001601, 8, 200, 3.11, 1.89, 0.89
000288, 7, 0, 0, 0, 0
001012, 8, 200, 3.08, 1.87, 0.89
000651, 8, 200, 3.07, 1.69, 1.07
002020, 8, 200, 3.14, 1.58, 1.16
002360, 8, 200, 3.78, 2.19, 1.14
002149, 8, 200, 3.66, 2.13, 1.12
000677, 8, 200, 3.13, 1.58, 1.15
003170, 8, 200, 3.69, 2.17, 1.13
001100, 8, 200, 2.76, 1.38, 1.09
000076, 5, 200, 3.14, 1.55, 1.30
002017, 8, 200, 3.09, 1.55, 1.16
003485, 8, 200, 3.77, 2.24, 1.13
002384, 8, 200, 3.72, 2.16, 1.14
002586, 12, 200, 90.47, 17.35, 63.96
003438, 12, 200, 16.40, 5.25, 9.18
000410, 8, 100, 2.40, 0.86, 1.15
